,DATE,TIME,STADIUM,CLASS,ATTENDANCE,HOME TEAM,HOME TEAM GOALS,AWAY TEAM,AWAY TEAM GOALS,HOME POSSESSIONS,AWAY POSSESSIONS,HOME SHOTS,AWAY SHOTS,HOME ON(SUBS),AWAY ON(SUBS),HOME OFF(SUBS),AWAY OFF(SUBS),HOME BLOCKED SHOTS,AWAY BLOCKED SHOTS,HOME PASSES,AWAY PASSES,HOME CHANCES,AWAY CHANCES,HOME CORNERS,AWAY CORNERS,HOME OFFSIDES,AWAY OFFSIDES,HOME TACKLES,AWAY TACKLES,HOME DUELS WON,AWAY DUELS WON,HOME SAVES,AWAY SAVES,HOME FOULS,AWAY FOULS,HOME YELLOW CARDS,AWAY YELLOW CARDS,HOME RED CARDS,AWAY RED CARDS,YEAR,TOTAL GOALS,match_results
22,2023-05-14,4:30pm,Emirates Stadium,a,60139.0,2,0,6,3,40.9,59.1,14,12,2,6,8,5,4,1,76.7,83.4,1,2,5,2,1,4,30.0,60.0,42.1,57.9,3,2,13,17,1,2,0,0,2023,3,Away win
23,2023-05-13,12:30p,Elland Road,d,36955.0,19,2,4,2,36.1,63.9,9,18,4,5,3,7,2,6,64.4,80.8,0,0,2,6,0,2,52.2,57.1,37.9,62.1,3,2,16,14,3,2,1,0,2023,4,Draw
24,2023-05-13,3:00pm,Villa Park,h,42164.0,7,2,8,1,48.7,51.3,8,5,4,2,4,2,0,1,85.0,85.3,3,1,8,3,2,9,72.7,43.8,42.9,57.1,1,2,9,14,3,3,0,0,2023,3,Home win
25,2023-05-13,3:00pm,Stamford Bridge,d,40030.0,12,2,16,2,76.1,23.9,14,11,6,2,3,7,5,2,89.1,60.8,1,3,2,5,1,2,64.3,53.6,55.2,44.8,0,4,13,15,3,1,0,0,2023,4,Draw
26,2023-05-13,3:00pm,Selhurst Park,h,25034.0,11,2,15,0,59.8,40.2,17,5,5,0,7,1,5,4,85.6,80.5,2,0,11,2,2,1,72.7,50.0,42.3,57.7,0,3,5,12,0,2,0,0,2023,2,Home win
27,2023-05-13,3:00pm,Old Trafford,h,73570.0,3,2,13,0,48.0,52.0,27,5,9,0,11,5,7,0,81.8,80.4,4,0,11,7,0,1,61.5,87.5,53.3,46.7,0,8,9,9,3,2,0,0,2023,2,Home win
28,2023-05-13,3:00pm,St. Mary's Stadium,a,28978.0,20,0,10,2,35.6,64.4,5,9,1,4,2,1,2,4,77.9,87.5,0,2,1,8,4,1,56.3,50.0,63.6,36.4,1,1,17,12,2,0,0,0,2023,2,Away win
29,2023-05-08,3:00pm,Craven Cottage,h,24442.0,10,5,18,3,57.1,42.9,17,18,7,9,5,4,5,5,82.0,76.8,2,2,2,7,1,4,63.6,57.1,64.0,36.0,6,2,13,15,0,3,0,0,2023,8,Home win
30,2023-05-08,5:30pm,Amex Stadium,a,31567.0,6,1,17,5,77.7,22.3,23,10,5,5,9,1,9,4,88.7,65.2,2,4,15,1,1,1,63.6,57.9,45.7,54.3,1,4,11,13,1,5,0,0,2023,6,Away win
31,2023-05-08,8:00pm,The City Ground,h,29154.0,16,4,20,3,35.9,64.1,9,19,4,5,3,9,2,5,69.6,83.4,1,4,2,11,3,1,40.0,66.7,60.0,40.0,2,0,16,10,1,0,0,0,2023,7,Home win
